AAPL US Equity,APPLE INC,580496982016,,NASDAQ GS,,Information Technology
GOOGL US Equity,ALPHABET INC-A,538316570624,,NASDAQ GS,,Information Technology
GOOG US Equity,ALPHABET INC-C,538316570624,,NASDAQ GS,,Information Technology
MSFT US Equity,MICROSOFT CORP,449394376704,,NASDAQ GS,,Information Technology
BRK/B US Equity,BERKSHIRE HATH-B,371619233792,,New York,,Financials
BRK/A US Equity,BERKSHIRE HATH-A,371619233792,,New York,,Financials
AMZN US Equity,AMAZON.COM INC,366193377280,,NASDAQ GS,,Consumer Discretionary
FB US Equity,FACEBOOK INC-A,363251728384,,NASDAQ GS,,Information Technology
XOM US Equity,EXXON MOBIL CORP,362500161536,,New York,,Energy
JNJ US Equity,JOHNSON&JOHNSON,326444810240,,New York,,Health Care
GE US Equity,GENERAL ELECTRIC,280396988416,,New York,,Industrials
WFC US Equity,WELLS FARGO & CO,255052414976,,New York,,Financials
CHL US Equity,CHINA MOBILE-ADR,253486481408,,New York,,Telecommunication Services
T US Equity,AT&T INC,251924398080,,New York,,Telecommunication Services
BABA US Equity,ALIBABA GRP-ADR,247656218624,,New York,,Information Technology
JPM US Equity,JPMORGAN CHASE,243772686336,,New York,,Financials
PG US Equity,PROCTER & GAMBLE,235439833088,,New York,,Consumer Staples
WMT US Equity,WAL-MART STORES,224261177344,,New York,,Consumer Staples
VZ US Equity,VERIZON COMMUNIC,215554834432,,New York,,Telecommunication Services
PFE US Equity,PFIZER INC,210902728704,,New York,,Health Care
NVS US Equity,NOVARTIS AG-ADR,208540368896,,New York,,Health Care
RDS/B US Equity,ROYAL DUTCH-ADR,205824425984,,New York,,Energy
RDS/A US Equity,ROYAL DUTCH-ADR,205824425984,,New York,,Energy
BUD US Equity,ANHEUSER-SPN ADR,203860770816,,New York,,Consumer Staples
TM US Equity,TOYOTA MOTOR-ADR,203751374848,,New York,,Consumer Discretionary
PTR US Equity,PETROCHINA -ADR,195264233472,,New York,,Energy
V US Equity,VISA INC-CLASS A,193586413568,,New York,,Information Technology
CVX US Equity,CHEVRON CORP,190406508544,,New York,,Energy
KO US Equity,COCA-COLA CO/THE,188437839872,,New York,,Consumer Staples
MRK US Equity,MERCK & CO,174152810496,,New York,,Health Care
INTC US Equity,INTEL CORP,170694475776,,NASDAQ GS,,Information Technology
ORCL US Equity,ORACLE CORP,170062610432,,New York,,Information Technology
HD US Equity,HOME DEPOT INC,166987776000,,New York,,Consumer Discretionary
BAC US Equity,BANK OF AMERICA,163276783616,,New York,,Financials
CSCO US Equity,CISCO SYSTEMS,160095731712,,NASDAQ GS,,Information Technology
CMCSA US Equity,COMCAST CORP-A,159566397440,,NASDAQ GS,,Consumer Discretionary
PM US Equity,PHILIP MORRIS IN,157878550528,,New York,,Consumer Staples
PEP US Equity,PEPSICO INC,155241955328,,New York,,Consumer Staples
HSBC US Equity,HSBC HOLDING-ADR,153659736064,,New York,,Financials
IBM US Equity,IBM,152504942592,,New York,,Information Technology
DIS US Equity,WALT DISNEY CO,151742496768,,New York,,Consumer Discretionary
TSM US Equity,TAIWAN SEMIC-ADR,151122264064,,New York,,Information Technology
UN US Equity,UNILEVER NV-NYS,145895636992,,New York,,Consumer Staples
UL US Equity,UNILEVER PLC-ADR,145838063616,,New York,,Consumer Staples
C US Equity,CITIGROUP INC,138034315264,,New York,,Financials
MO US Equity,ALTRIA GROUP INC,130673795072,,New York,,Consumer Staples
UNH US Equity,UNITEDHEALTH GRP,130106187776,,New York,,Health Care
AMGN US Equity,AMGEN INC,127049228288,,NASDAQ GS,,Health Care
TOT US Equity,TOTAL SA-SP ADR,122540040192,,New York,,Energy
MDT US Equity,MEDTRONIC PLC,121682583552,,New York,,Health Care
NVO US Equity,NOVO-NORDISK-ADR,116790001664,,New York,,Health Care
SAP US Equity,SAP SE-SPONS ADR,110123122688,,New York,,Information Technology
MMM US Equity,3M CO,109281615872,,New York,,Industrials
SLB US Equity,SCHLUMBERGER LTD,109238976512,,New York,,Energy
KHC US Equity,KRAFT HEINZ CO/T,109113696256,,NASDAQ GS,,Consumer Staples
BP US Equity,BP PLC-ADR,108010684416,,New York,,Energy
GSK US Equity,GLAXOSMITHKL-ADR,107895480320,,New York,,Health Care
MA US Equity,MASTERCARD INC-A,107458117632,,New York,,Information Technology
ABBV US Equity,ABBVIE INC,104422137856,,New York,,Health Care
DCM US Equity,NTT DOCOMO-ADR,101972066304,,New York,,Telecommunication Services
GILD US Equity,GILEAD SCIENCES,101468545024,,NASDAQ GS,,Health Care
SNY US Equity,SANOFI-ADR,101006868480,,New York,,Health Care
CVS US Equity,CVS HEALTH CORP,100053614592,,New York,,Consumer Staples
MCD US Equity,MCDONALDS CORP,98844917760,,New York,,Consumer Discretionary
NKE US Equity,NIKE INC -CL B,97352515584,,New York,,Consumer Discretionary
UPS US Equity,UNITED PARCEL-B,96227221504,,New York,,Industrials
